"Year","Energy Type","Percentage"
"1985","Coal",43.9
"1986","Coal",49
"1987","Coal",39.8
"1988","Coal",26
"1989","Coal",38.9
"1990","Coal",35.1
"1991","Coal",35.8
"1992","Coal",36.5
"1993","Coal",32.1
"1994","Coal",36
"1995","Coal",32.5
"1996","Coal",32
"1997","Coal",32.8
"1998","Coal",32.2
"1999","Coal",31.8
"2000","Coal",30.6
"2001","Coal",31.3
"2002","Coal",24.8
"2003","Coal",22.9
"2004","Coal",22.8
"2005","Coal",26.6
"2006","Coal",26.4
"2007","Coal",27.9
"2008","Coal",29.1
"2009","Coal",28.6
"2010","Coal",26.1
"2011","Coal",28.8
"2012","Coal",28.4
"2013","Coal",26.6
"2014","Coal",30.2
"2015","Coal",29.1
"2016","Coal",33.7
"2017","Coal",32.8
"2018","Coal",37.2
"2019","Coal",37.1487431955803
"2020","Coal",34.499816497887
"2021","Coal",30.8858503208739
"2022","Coal",34.6305140313617
"1985","Liquid fuels",20.7
"1986","Liquid fuels",17.6
"1987","Liquid fuels",12.4
"1988","Liquid fuels",6.9
"1989","Liquid fuels",8.2
"1990","Liquid fuels",6.8
"1991","Liquid fuels",5.6
"1992","Liquid fuels",7.8
"1993","Liquid fuels",7
"1994","Liquid fuels",7.1
"1995","Liquid fuels",6.7
"1996","Liquid fuels",6.9
"1997","Liquid fuels",6.9
"1998","Liquid fuels",7.2
"1999","Liquid fuels",6.9
"2000","Liquid fuels",7.5
"2001","Liquid fuels",8.4
"2002","Liquid fuels",8.3
"2003","Liquid fuels",6.6
"2004","Liquid fuels",5
"2005","Liquid fuels",3.4
"2006","Liquid fuels",2.4
"2007","Liquid fuels",3.4
"2008","Liquid fuels",3.8
"2009","Liquid fuels",2.5
"2010","Liquid fuels",1
"2011","Liquid fuels",0.4
"2012","Liquid fuels",0.7
"2013","Liquid fuels",0.7
"2014","Liquid fuels",0.9
"2015","Liquid fuels",0.9
"2016","Liquid fuels",0.7
"2017","Liquid fuels",0.4
"2018","Liquid fuels",0.1
"2019","Liquid fuels",0.110564560117802
"2020","Liquid fuels",0.105202768953324
"2021","Liquid fuels",0.0840958303348233
"2022","Liquid fuels",0.120091366642826
"1985","Natural Gas",0.2
"1986","Natural Gas",3.4
"1987","Natural Gas",5.7
"1988","Natural Gas",6.7
"1989","Natural Gas",18.3
"1990","Natural Gas",17.7
"1991","Natural Gas",20.8
"1992","Natural Gas",16
"1993","Natural Gas",14.6
"1994","Natural Gas",17.6
"1995","Natural Gas",19.2
"1996","Natural Gas",18.1
"1997","Natural Gas",21.4
"1998","Natural Gas",22.4
"1999","Natural Gas",31.2
"2000","Natural Gas",37
"2001","Natural Gas",40.4
"2002","Natural Gas",40.6
"2003","Natural Gas",45.2
"2004","Natural Gas",41.3
"2005","Natural Gas",45.3
"2006","Natural Gas",45.8
"2007","Natural Gas",49.6
"2008","Natural Gas",49.7
"2009","Natural Gas",49.3
"2010","Natural Gas",46.5
"2011","Natural Gas",45.4
